CASEID,AGE,SEX,GENHEALTH,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
20100000000000,20,2,1,30,0,0,30,0,0,0,30,90,0,0,1145
20100000000000,16,2,2,0,0,0,45,40,0,0,200,0,0,465,540
20100000000000,65,2,5,180,0,0,60,300,0,0,255,0,0,0,555
20100000000000,50,2,2,0,0,0,0,10,0,110,460,0,0,0,780
20100000000000,23,2,4,175,0,0,65,315,0,0,120,0,0,60,645
20100000000000,85,1,NA,0,0,0,30,30,0,0,1140,0,0,0,240
20100000000000,27,1,3,0,0,0,20,0,10,0,105,0,0,645,585
20100000000000,28,1,2,60,0,0,30,15,0,0,180,30,0,555,450
20100000000000,63,2,2,0,35,0,30,166,0,0,582,0,0,0,425
20100000000000,85,1,3,0,0,0,117,61,0,0,607,30,0,0,520
20100000000000,66,2,1,0,210,0,80,105,40,0,430,0,0,0,495
20100000000000,54,1,4,0,0,0,35,15,0,0,655,0,0,0,670
20100000000000,31,2,3,120,0,0,0,305,30,0,265,0,0,0,690
20100000000000,35,1,3,63,0,0,25,36,4,0,47,0,0,513,551
20100000000000,80,1,3,0,0,0,150,0,0,0,710,0,0,0,510
20100000000000,37,1,2,0,0,0,0,50,25,0,540,0,0,10,380
20100000000000,41,2,3,125,0,0,80,0,15,0,120,0,0,479,459
20100000000000,85,2,2,0,0,0,105,380,0,0,255,0,0,0,535
20100000000000,67,1,2,0,0,0,60,100,30,0,510,60,0,0,440
20100000000000,21,2,2,0,0,0,30,2,0,0,688,0,0,0,720
20100000000000,45,2,4,180,0,0,0,122,10,0,0,0,0,646,478
20100000000000,62,1,2,0,0,0,47,35,20,0,395,0,0,437,405
20100000000000,67,2,3,0,0,0,90,45,90,130,265,0,0,0,590
20100000000000,80,2,2,0,40,0,45,300,214,0,280,0,0,0,480
20100000000000,61,2,5,0,0,0,180,5,0,0,315,0,0,0,690
20100000000000,49,1,4,0,0,0,30,10,60,0,665,0,0,0,630
20100000000000,26,2,3,270,0,0,90,85,0,0,10,0,0,444,420
20100000000000,66,2,2,0,0,0,65,475,0,0,315,0,0,0,510
20100000000000,62,1,1,0,0,0,90,120,12,120,345,120,0,0,518
20100000000000,61,1,2,0,0,0,10,200,0,0,587,0,0,0,640
20100000000000,47,1,2,0,9,0,95,135,5,0,495,0,0,0,496
20100000000000,16,2,2,0,1,0,130,5,0,0,372,210,0,0,600
20100000000000,74,2,3,0,0,0,20,0,0,0,730,0,0,0,570
20100000000000,70,1,2,0,0,0,130,40,30,0,320,0,0,0,600
20100000000000,64,1,2,0,540,0,105,0,0,0,100,0,0,0,690
20100000000000,69,1,2,0,0,0,85,25,10,0,248,0,0,460,445
20100000000000,56,2,1,30,0,0,30,60,0,0,660,150,0,0,420
20100000000000,28,2,2,0,0,0,145,82,0,0,120,0,0,450,440
20100000000000,55,2,3,0,0,0,60,15,0,0,235,0,60,240,540
20100000000000,66,2,2,0,0,0,15,114,0,0,741,0,0,0,460
20100000000000,72,2,5,0,0,0,30,210,0,0,840,0,0,0,330
20100000000000,54,1,2,0,45,0,45,0,0,0,30,150,0,600,390
20100000000000,66,1,1,0,270,0,5,30,55,195,210,0,0,0,450
20100000000000,80,1,3,0,0,0,150,290,0,0,350,0,0,0,500
20100000000000,66,1,4,0,0,0,170,90,0,0,630,0,0,0,515
20100000000000,36,1,1,45,0,0,45,155,0,135,435,30,0,0,510
20100000000000,47,2,2,0,0,0,120,155,0,0,520,0,0,0,585
20100000000000,63,2,3,0,0,0,120,0,0,0,140,0,0,820,360
20100000000000,18,2,4,0,0,0,45,0,0,0,369,0,0,345,550
20100000000000,61,2,1,0,0,100,134,61,40,0,365,75,0,0,450
20100000000000,79,1,4,60,0,0,60,0,0,0,60,0,360,0,870
20100000000000,19,2,3,0,0,90,45,0,0,0,130,0,0,480,615
20100000000000,38,2,3,0,0,0,40,20,0,0,0,0,0,750,520
20100000000000,75,1,2,0,0,0,85,125,0,0,470,0,0,260,390
20100000000000,54,2,4,0,0,0,125,90,0,0,120,0,0,240,700
20100000000000,49,1,3,0,0,0,75,180,15,0,575,0,0,0,510
20100000000000,51,2,2,36,0,0,42,145,25,0,240,0,100,0,375
20100000000000,80,2,2,0,0,0,53,200,10,0,393,0,0,0,600
20100000000000,52,2,3,0,0,0,0,0,0,0,705,0,0,150,420
20100000000000,33,2,2,230,0,0,45,70,10,0,225,0,0,220,470
20100000000000,33,1,4,0,0,0,120,120,0,0,135,0,0,495,525
20100000000000,24,2,2,0,0,0,25,1,0,0,814,0,0,0,600
20100000000000,48,1,2,0,0,0,40,0,0,0,223,0,0,683,450
20100000000000,16,1,3,0,0,0,0,0,0,0,750,0,0,0,660
20100000000000,60,2,2,0,0,0,65,35,0,0,580,0,0,0,710
20100000000000,72,2,3,0,110,0,70,180,0,0,430,0,0,0,625
20100000000000,49,2,3,0,0,0,60,55,0,0,65,0,0,569,481
20100000000000,38,1,2,155,0,0,75,280,20,0,170,60,0,0,630
